artista,biografia,listeners,playcount,similares
La Fuga,"La Fuga son Pedro (voz y guitarra), Nando (guitarra) y Edu (batería): un grupo de Reinosa (Cantabria) con más de 500 conciertos a sus espaldas en una decena de giras, 8 discos publicados hasta la fecha, y una historia de constancia y rock and roll. Una banda cuyo esfuerzo ha situado en lo más alto del panorama de la música estatal, y cuyo comienzo se remonta a hace casi 15 años.

En el verano de 1996, más que el sofocante calor del olvidado sur de Cantabria Read more on Last.fm",82583,2800945,"Marea, Platero y tú, Rosendo, Los De Marras, Fito Y Fitipaldis"
Héroes del Silencio,"Héroes es el grupo de rock español de mayor éxito internacional, compuesto originalmente por Enrique Bunbury (voz), Juan Valdivia (Guitarra), Joaquín Cardiel (bajo) y Pedro Andreu (batería).

Orígenes 

Desde pequeño, Juan Valdivia (Segovia, 1965) estuvo introducido en el mundo de la música ya que su padre era un gran amante de este arte. Con 10 ó 12 años comenzó a tocar la guitarra clásica como alumno de su hermana, que le enseñó los acordes básicos y cuando marchó a Zaragoza se compró su primera guitarra eléctrica Read more on Last.fm",202357,6110374,"Enrique Bunbury, Caifanes, Jaguares, Fobia, Rata Blanca"
Billie Eilish,"Billie Eilish Pirate Baird O'Connell​ (Los Ángeles, California; 18 de diciembre de 2001​) conocida solo como Billie Eilish, es una cantante y compositora estadounidense. Su primer sencillo, «Ocean Eyes», producido por su hermano, y ella ha acumulado más de 1 millón de streams en YouTube desde febrero de 2018. Su primer EP, «Don't Smile at Me» fue lanzado en agosto de 2017. Tras el éxito del EP, un mes después, en octubre de 2017, Apple nombró a Eilish como su más reciente artista UPNEXT de Apple Music. Read more on Last.fm",4230582,836351191,"FINNEAS, Olivia Rodrigo, Melanie Martinez, Lana Del Rey, Ariana Grande"
Love of Lesbian,"Love of Lesbian es un grupo de pop independiente español radicado en Barcelona que está en activo desde 1998. Después de tres discos en inglés, decidieron cantar en castellano, lengua en la cual han sacado sus últimos tres discos. Un momento importante para su proyección como grupo fue la actuación como teloneros de The Cure durante el Dream Tour 2000. 

Son uno de los grupos más apreciados por la crítica de la escena indie española, sobre todo a partir de la publicación de Maniobras de escapismo en 2005. Read more on Last.fm",176513,11440267,"Lori Meyers, Viva Suecia, Izal, Vetusta Morla, Supersubmarina"
Estopa,"Estopa es un grupo de pop/rumba/flamenco fundado en 1999 por los hermanos José Muñoz y David Muñoz que son naturales del barrio de San Ildefonso del municipio de Cornellá de Llobregat, Barcelona.

Su último trabajo oficial fue en la producción de piezas para automóviles en una de las filiales de SEAT, Novel Lahnwerk, donde se gestaron algunas de las letras de las canciones del conjunto,de ahí que su primer éxito ""La raja de tu falda"" nombrase un modelo de SEAT (Seat Panda). Read more on Last.fm",309127,8958630,"Melendi, El Canto del Loco, Extremoduro, Pereza, Los Delinqüentes"
Mägo de Oz,"Mägo de Oz es un grupo proveniente de Madrid, España de música rock con influencia celta formado en mayo de 1989 por el baterísta Txus(que se pronuncia ""Chus""). El nombre resulta de añadir el llamado umlaut del heavy metal a «El Mago de Oz», novela infantil del estadounidense Lyman Frank Baum.

En el año 1.988 Txus Di fellatio, que por aquel entonces había abandonado la disciplina del Real Madrid C.F.-al que pertenecía desde 1.980-, alternaba su pasión por el fútbol con sus amoríos hacia cualquier tipo de pentagrama. Read more on Last.fm",298682,13967733,"Warcry, Saratoga, Saurom, Tierra Santa, Rata Blanca"
Mr. Kilombo,"Mr.Kilombo es una banda mestiza nacida en Madrid. Un cóctel musical en el que la rumba hace de hilo conductor y la timba, la samba, el reggae, el ska y el rock son algunos de los condimentos que se mezclan con elegancia para lograr un clima lisérgico que invita a la algarabía y la farra. Las letras, ácidas y directas a veces, sutiles y encriptadas otras, son responsabilidad de Miki Ramírez, que a su corta edad se ha convertido en todo un veterano de la composición urbana, con un disco en solitario en el mercado. Read more on Last.fm",18654,219292,"Pedro Pastor, TéCanela, El Niño de La Hipoteca, Antílopez, Sebastián Cortés"
Rozalén,"Desde los 7 años, María Rozalén formó parte de la rondalla del barrio de Fátima de Albacete durante 9 años como instrumentista de guitarra y bandurria, dando así sus tempranos pasos dentro de la música. Su primera toma de contacto delante de los micrófonos como solista de voz fue dentro de los grupos coristas del colegio Santo Ángel de la Guarda y la Iglesia de Fátima de Albacete.

Empezó a componer canciones a sus 14 años, movida siempre Read more on Last.fm",50813,808513,"Vanesa Martín, Amaral, Despistaos, Valeria Castro, Ana Belén"
Taburete,"Taburete es un grupo de música madrileño formado por Willy Bárcenas, Antón Carreño, Manuel Evia, Guillermo Gracia y Antonio de la Fuente.

Unidos por la casualidad, todos se conocían tras haber ido juntos al mismo colegio, pero la vida los volvió a juntar en su pasión por la música, se reunieron y decidieron crear lo que hoy en día es Taburete, uno de los grupos más punteros y con más seguidores dentro del público adolescente del panorama musical español. Read more on Last.fm",38467,699817,"Maldita Nerea, Siloé, Despistaos, Antonio Orozco, Sidecars"
Extremoduro,"En 1987 Robe, cantante y guitarra, forma Extremoduro en su Plasencia natal. Tras los iniciales conciertos y una época de parón, de nuevo vuelve a la carga al año siguiente, ya con Salo al bajo y Luis Von Fanta a la batería, para dar rienda suelta a su explosiva combinación de poesía desgarradora y rock transgresivo, como él mismo autoetiquetaría su estilo musical. Tras vender 250 participaciones a mil pesetas entre amigos y vecinos a cambio de su posterior primer disco Read more on Last.fm",181621,12244527,"Marea, Platero y tú, Fito Y Fitipaldis, La Fuga, Estopa"
