artista,track,playcount,listeners
La Fuga,Buscando en la basura,199015,29961
La Fuga,Por verte sonreir,89354,15722
La Fuga,Majareta,74677,13676
La Fuga,Abril,56923,11206
La Fuga,Luna de miel,50020,10728
La Fuga,Amor de contenedor,48443,10432
La Fuga,Las olas,46803,9767
La Fuga,Mendigo,40263,9490
La Fuga,Jaleo,53649,8998
La Fuga,En vela,55230,8872
La Fuga,Balada del despertador,44124,8797
La Fuga,El manual,42656,8793
La Fuga,Trampas al sol,57927,8786
La Fuga,Madrid,43053,8672
La Fuga,"P' aqui, p' alla",38649,8414
La Fuga,Hasta nunca,42495,8222
La Fuga,P'aquí p'allá,46666,8067
La Fuga,Gigante,33438,7445
La Fuga,Al amanecer,30841,7400
La Fuga,No solo respirar,42755,7073
La Fuga,A golpes,28755,6779
La Fuga,Despacito,31615,6758
La Fuga,Miguel,29782,6643
La Fuga,Heroina,24036,6306
La Fuga,Sueños de papel,35411,6153
La Fuga,Malos Pensamientos,31853,5622
La Fuga,Pa volar,26368,5563
La Fuga,Por verte sonreír,33142,5532
La Fuga,P'aqui P'alla,22726,5522
La Fuga,Nunca mais,32819,5492
La Fuga,Primavera del 87,20985,5360
La Fuga,Cinco minutos,21912,5247
La Fuga,Baja por diversión,33152,5198
La Fuga,A deshora,19887,5099
La Fuga,Los de siempre,22698,5082
La Fuga,Los lunes de octubre,27298,4900
La Fuga,Los Molinos,27928,4883
La Fuga,Baja Por Diversion,18797,4875
La Fuga,Mundo enfermo,16311,4762
La Fuga,Vientos del sur,17094,4718
La Fuga,Un rayito de sol,16555,4573
La Fuga,Mal humor,15447,4428
La Fuga,Mira,15545,4281
La Fuga,Idiota,14835,4232
La Fuga,Versos para ti,16204,4218
La Fuga,"Conversacion, habitacion",16752,4168
La Fuga,Pierdo verticalidad,14599,4046
La Fuga,"P' aquí, p' allá",19930,3954
La Fuga,Barrio gris,13467,3872
La Fuga,Las musas,19333,3860
Héroes del Silencio,Entre Dos Tierras,459529,78197
Héroes del Silencio,Maldito Duende,301698,52062
Héroes del Silencio,Avalancha,197760,39723
Héroes del Silencio,La Chispa Adecuada,215085,37401
Héroes del Silencio,La Carta,181874,33028
Héroes del Silencio,La Sirena Varada,166033,29229
Héroes del Silencio,Mar Adentro,158548,28307
